evo_line,phage,rep,sp,time,dil,dil_fact,froz,count,type
PP,Y,1,P,T2,10000,33.33333333,2,24,mono
PP,Y,2,P,T2,10000,33.33333333,2,17,mono
PP,Y,3,P,T2,10000,33.33333333,2,17,mono
PP,Y,4,P,T2,10000,33.33333333,2,58,mono
PP,Y,5,P,T2,10000,33.33333333,2,20,mono
PP,Y,6,P,T2,10000,33.33333333,2,17,mono
P,N,1,P,T2,10000,33.33333333,2,167,mono
P,N,2,P,T2,10000,33.33333333,2,163,mono
P,N,3,P,T2,10000,33.33333333,2,133,mono
P,N,4,P,T2,10000,33.33333333,2,157,mono
P,N,5,P,T2,10000,33.33333333,2,127,mono
P,N,6,P,T2,10000,33.33333333,2,135,mono
CP,Y,1,P,T2,10000,33.33333333,2,19,comm
CP,Y,2,P,T2,10000,33.33333333,2,18,comm
CP,Y,3,P,T2,10000,33.33333333,2,36,comm
CP,Y,4,P,T2,10000,33.33333333,2,37,comm
CP,Y,5,P,T2,10000,33.33333333,2,17,comm
CP,Y,6,P,T2,10000,33.33333333,2,24,comm
CP,Y,1,V,T2,10000,33.33333333,2,118,comm
CP,Y,2,V,T2,10000,33.33333333,2,119,comm
CP,Y,3,V,T2,10000,33.33333333,2,172,comm
CP,Y,4,V,T2,10000,33.33333333,2,152,comm
CP,Y,5,V,T2,10000,33.33333333,2,36,comm
CP,Y,6,V,T2,10000,33.33333333,2,134,comm
CP,Y,1,O,T2,10000,33.33333333,2,200,comm
CP,Y,2,O,T2,10000,33.33333333,2,130,comm
CP,Y,3,O,T2,10000,33.33333333,2,15,comm
CP,Y,4,O,T2,10000,33.33333333,2,149,comm
CP,Y,5,O,T2,10000,33.33333333,2,124,comm
CP,Y,6,O,T2,10000,33.33333333,2,42,comm
C,N,1,P,T2,10000,33.33333333,2,20,comm
C,N,2,P,T2,10000,33.33333333,2,46,comm
C,N,3,P,T2,10000,33.33333333,2,17,comm
C,N,4,P,T2,10000,33.33333333,2,18,comm
C,N,5,P,T2,10000,33.33333333,2,18,comm
C,N,6,P,T2,10000,33.33333333,2,14,comm
C,N,1,V,T2,10000,33.33333333,2,104,comm
C,N,2,V,T2,10000,33.33333333,2,191,comm
C,N,3,V,T2,10000,33.33333333,2,128,comm
C,N,4,V,T2,10000,33.33333333,2,111,comm
C,N,5,V,T2,10000,33.33333333,2,160,comm
C,N,6,V,T2,10000,33.33333333,2,133,comm
C,N,1,O,T2,10000,33.33333333,2,239,comm
C,N,2,O,T2,10000,33.33333333,2,240,comm
C,N,3,O,T2,10000,33.33333333,2,307,comm
C,N,4,O,T2,10000,33.33333333,2,249,comm
C,N,5,O,T2,10000,33.33333333,2,338,comm
C,N,6,O,T2,10000,33.33333333,2,245,comm
V,N,1,V,T2,10000,33.33333333,2,30,mono
V,N,2,V,T2,10000,33.33333333,2,38,mono
V,N,3,V,T2,10000,33.33333333,2,24,mono
V,N,4,V,T2,10000,33.33333333,2,28,mono
V,N,5,V,T2,10000,33.33333333,2,59,mono
V,N,6,V,T2,10000,33.33333333,2,33,mono
VP,Y,1,V,T2,10000,33.33333333,2,104,mono
VP,Y,2,V,T2,10000,33.33333333,2,55,mono
VP,Y,3,V,T2,10000,33.33333333,2,23,mono
VP,Y,4,V,T2,10000,33.33333333,2,10,mono
VP,Y,5,V,T2,10000,33.33333333,2,36,mono
VP,Y,6,V,T2,10000,33.33333333,2,66,mono
O,N,1,O,T2,10000,33.33333333,2,566,mono
O,N,2,O,T2,10000,33.33333333,2,464,mono
O,N,3,O,T2,10000,33.33333333,2,328,mono
O,N,4,O,T2,10000,33.33333333,2,522,mono
O,N,5,O,T2,10000,33.33333333,2,366,mono
O,N,6,O,T2,10000,33.33333333,2,518,mono
OP,Y,1,O,T2,10000,33.33333333,2,278,mono
OP,Y,2,O,T2,10000,33.33333333,2,448,mono
OP,Y,3,O,T2,10000,33.33333333,2,499,mono
OP,Y,4,O,T2,10000,33.33333333,2,666,mono
OP,Y,5,O,T2,10000,33.33333333,2,354,mono
OP,Y,6,O,T2,10000,33.33333333,2,358,mono
V,N,1,V,T4,10000,33.33333333,2,29,mono
V,N,2,V,T4,10000,33.33333333,2,115,mono
V,N,3,V,T4,10000,33.33333333,2,43,mono
V,N,4,V,T4,10000,33.33333333,2,36,mono
V,N,5,V,T4,10000,33.33333333,2,37,mono
V,N,6,V,T4,10000,33.33333333,2,30,mono
VP,Y,1,V,T4,10000,33.33333333,2,72,mono
VP,Y,2,V,T4,10000,33.33333333,2,83,mono
VP,Y,3,V,T4,10000,33.33333333,2,62,mono
VP,Y,4,V,T4,10000,33.33333333,2,23,mono
VP,Y,5,V,T4,10000,33.33333333,2,36,mono
VP,Y,6,V,T4,10000,33.33333333,2,77,mono
C,N,1,P,T4,10000,33.33333333,2,104,comm
C,N,2,P,T4,10000,33.33333333,2,98,comm
C,N,3,P,T4,10000,33.33333333,2,70,comm
C,N,4,P,T4,10000,33.33333333,2,110,comm
C,N,5,P,T4,10000,33.33333333,2,113,comm
C,N,6,P,T4,10000,33.33333333,2,88,comm
C,N,1,V,T4,10000,33.33333333,2,52,comm
C,N,2,V,T4,10000,33.33333333,2,108,comm
C,N,3,V,T4,10000,33.33333333,2,190,comm
C,N,4,V,T4,10000,33.33333333,2,86,comm
C,N,5,V,T4,10000,33.33333333,2,82,comm
C,N,6,V,T4,10000,33.33333333,2,66,comm
C,N,1,O,T4,10000,33.33333333,2,232,comm
C,N,2,O,T4,10000,33.33333333,2,122,comm
C,N,3,O,T4,10000,33.33333333,2,118,comm
C,N,4,O,T4,10000,33.33333333,2,118,comm
C,N,5,O,T4,10000,33.33333333,2,108,comm
C,N,6,O,T4,10000,33.33333333,2,124,comm
CP,Y,1,P,T4,10000,33.33333333,2,90,comm
CP,Y,2,P,T4,10000,33.33333333,2,102,comm
CP,Y,3,P,T4,10000,33.33333333,2,118,comm
CP,Y,4,P,T4,10000,33.33333333,2,124,comm
CP,Y,5,P,T4,10000,33.33333333,2,98,comm
CP,Y,6,P,T4,10000,33.33333333,2,124,comm
CP,Y,1,V,T4,10000,33.33333333,2,104,comm
CP,Y,2,V,T4,10000,33.33333333,2,214,comm
CP,Y,3,V,T4,10000,33.33333333,2,140,comm
CP,Y,4,V,T4,10000,33.33333333,2,168,comm
CP,Y,5,V,T4,10000,33.33333333,2,178,comm
CP,Y,6,V,T4,10000,33.33333333,2,218,comm
CP,Y,1,O,T4,10000,33.33333333,2,132,comm
CP,Y,2,O,T4,10000,33.33333333,2,78,comm
CP,Y,3,O,T4,10000,33.33333333,2,38,comm
CP,Y,4,O,T4,10000,33.33333333,2,26,comm
CP,Y,5,O,T4,10000,33.33333333,2,52,comm
CP,Y,6,O,T4,10000,33.33333333,2,96,comm
P,N,1,P,T4,10000,33.33333333,2,190,mono
P,N,2,P,T4,10000,33.33333333,2,108,mono
P,N,3,P,T4,10000,33.33333333,2,199,mono
P,N,4,P,T4,10000,33.33333333,2,131,mono
P,N,5,P,T4,10000,33.33333333,2,132,mono
P,N,6,P,T4,10000,33.33333333,2,151,mono
PP,Y,1,P,T4,10000,33.33333333,2,103,mono
PP,Y,2,P,T4,10000,33.33333333,2,126,mono
PP,Y,3,P,T4,10000,33.33333333,2,102,mono
PP,Y,4,P,T4,10000,33.33333333,2,192,mono
PP,Y,5,P,T4,10000,33.33333333,2,143,mono
PP,Y,6,P,T4,10000,33.33333333,2,111,mono
O,N,1,O,T4,10000,33.33333333,2,396,mono
O,N,2,O,T4,10000,33.33333333,2,361,mono
O,N,3,O,T4,10000,33.33333333,2,436,mono
O,N,4,O,T4,10000,33.33333333,2,296,mono
O,N,5,O,T4,10000,33.33333333,2,296,mono
O,N,6,O,T4,10000,33.33333333,2,280,mono
OP,Y,1,O,T4,10000,33.33333333,2,282,mono
OP,Y,2,O,T4,10000,33.33333333,2,374,mono
OP,Y,3,O,T4,10000,33.33333333,2,260,mono
OP,Y,4,O,T4,10000,33.33333333,2,390,mono
OP,Y,5,O,T4,10000,33.33333333,2,526,mono
OP,Y,6,O,T4,10000,33.33333333,2,414,mono
P,N,1,P,T6,10000,33.33333333,2,143,mono
P,N,2,P,T6,10000,33.33333333,2,126,mono
P,N,3,P,T6,10000,33.33333333,2,138,mono
P,N,4,P,T6,10000,33.33333333,2,153,mono
P,N,5,P,T6,10000,33.33333333,2,134,mono
P,N,6,P,T6,10000,33.33333333,2,125,mono
PP,Y,1,P,T6,10000,33.33333333,2,129,mono
PP,Y,2,P,T6,10000,33.33333333,2,142,mono
PP,Y,3,P,T6,10000,33.33333333,2,105,mono
PP,Y,4,P,T6,10000,33.33333333,2,171,mono
PP,Y,5,P,T6,10000,33.33333333,2,118,mono
PP,Y,6,P,T6,10000,33.33333333,2,117,mono
O,N,1,O,T6,10000,33.33333333,2,264,mono
O,N,2,O,T6,10000,33.33333333,2,378,mono
O,N,3,O,T6,10000,33.33333333,2,382,mono
O,N,4,O,T6,10000,33.33333333,2,346,mono
O,N,5,O,T6,10000,33.33333333,2,342,mono
O,N,6,O,T6,10000,33.33333333,2,384,mono
OP,Y,1,O,T6,10000,33.33333333,2,200,mono
OP,Y,2,O,T6,10000,33.33333333,2,186,mono
OP,Y,3,O,T6,10000,33.33333333,2,288,mono
OP,Y,4,O,T6,10000,33.33333333,2,380,mono
OP,Y,5,O,T6,10000,33.33333333,2,279,mono
OP,Y,6,O,T6,10000,33.33333333,2,390,mono
C,N,1,P,T6,10000,33.33333333,2,78,comm
C,N,2,P,T6,10000,33.33333333,2,98,comm
C,N,3,P,T6,10000,33.33333333,2,104,comm
C,N,4,P,T6,10000,33.33333333,2,72,comm
C,N,5,P,T6,10000,33.33333333,2,76,comm
C,N,6,P,T6,10000,33.33333333,2,76,comm
C,N,1,V,T6,10000,33.33333333,2,90,comm
C,N,2,V,T6,10000,33.33333333,2,70,comm
C,N,3,V,T6,10000,33.33333333,2,60,comm
C,N,4,V,T6,10000,33.33333333,2,92,comm
C,N,5,V,T6,10000,33.33333333,2,84,comm
C,N,6,V,T6,10000,33.33333333,2,100,comm
C,N,1,O,T6,10000,33.33333333,2,154,comm
C,N,2,O,T6,10000,33.33333333,2,82,comm
C,N,3,O,T6,10000,33.33333333,2,58,comm
C,N,4,O,T6,10000,33.33333333,2,64,comm
C,N,5,O,T6,10000,33.33333333,2,90,comm
C,N,6,O,T6,10000,33.33333333,2,72,comm
CP,Y,1,P,T6,10000,33.33333333,2,56,comm
CP,Y,2,P,T6,10000,33.33333333,2,69,comm
CP,Y,3,P,T6,10000,33.33333333,2,110,comm
CP,Y,4,P,T6,10000,33.33333333,2,92,comm
CP,Y,5,P,T6,10000,33.33333333,2,74,comm
CP,Y,6,P,T6,10000,33.33333333,2,108,comm
CP,Y,1,V,T6,10000,33.33333333,2,104,comm
CP,Y,2,V,T6,10000,33.33333333,2,108,comm
CP,Y,3,V,T6,10000,33.33333333,2,146,comm
CP,Y,4,V,T6,10000,33.33333333,2,52,comm
CP,Y,5,V,T6,10000,33.33333333,2,98,comm
CP,Y,6,V,T6,10000,33.33333333,2,106,comm
CP,Y,1,O,T6,10000,33.33333333,2,38,comm
CP,Y,2,O,T6,10000,33.33333333,2,40,comm
CP,Y,3,O,T6,10000,33.33333333,2,36,comm
CP,Y,4,O,T6,10000,33.33333333,2,46,comm
CP,Y,5,O,T6,10000,33.33333333,2,76,comm
CP,Y,6,O,T6,10000,33.33333333,2,72,comm
V,N,1,V,T6,10000,33.33333333,2,59,mono
V,N,2,V,T6,10000,33.33333333,2,32,mono
V,N,3,V,T6,10000,33.33333333,2,92,mono
V,N,4,V,T6,10000,33.33333333,2,36,mono
V,N,5,V,T6,10000,33.33333333,2,85,mono
V,N,6,V,T6,10000,33.33333333,2,91,mono
VP,Y,1,V,T6,10000,33.33333333,2,65,mono
VP,Y,2,V,T6,10000,33.33333333,2,85,mono
VP,Y,3,V,T6,10000,33.33333333,2,110,mono
VP,Y,4,V,T6,10000,33.33333333,2,139,mono
VP,Y,5,V,T6,10000,33.33333333,2,97,mono
VP,Y,6,V,T6,10000,33.33333333,2,118,mono
V,N,1,V,T8,10000,33.33333333,2,68,mono
V,N,2,V,T8,10000,33.33333333,2,60,mono
V,N,3,V,T8,10000,33.33333333,2,86,mono
V,N,4,V,T8,10000,33.33333333,2,124,mono
V,N,5,V,T8,10000,33.33333333,2,147,mono
V,N,6,V,T8,10000,33.33333333,2,76,mono
VP,Y,1,V,T8,10000,33.33333333,2,105,mono
VP,Y,2,V,T8,10000,33.33333333,2,159,mono
VP,Y,3,V,T8,10000,33.33333333,2,69,mono
VP,Y,4,V,T8,10000,33.33333333,2,94,mono
VP,Y,5,V,T8,10000,33.33333333,2,156,mono
VP,Y,6,V,T8,10000,33.33333333,2,169,mono
P,N,1,P,T8,10000,33.33333333,2,171,mono
P,N,2,P,T8,10000,33.33333333,2,118,mono
P,N,3,P,T8,10000,33.33333333,2,113,mono
P,N,4,P,T8,10000,33.33333333,2,112,mono
P,N,5,P,T8,10000,33.33333333,2,24,mono
P,N,6,P,T8,10000,33.33333333,2,146,mono
PP,Y,1,P,T8,10000,33.33333333,2,103,mono
PP,Y,2,P,T8,10000,33.33333333,2,95,mono
PP,Y,3,P,T8,10000,33.33333333,2,148,mono
PP,Y,4,P,T8,10000,33.33333333,2,110,mono
PP,Y,5,P,T8,10000,33.33333333,2,93,mono
PP,Y,6,P,T8,10000,33.33333333,2,117,mono
C,N,1,P,T8,10000,33.33333333,2,162,comm
C,N,2,P,T8,10000,33.33333333,2,138,comm
C,N,3,P,T8,10000,33.33333333,2,128,comm
C,N,4,P,T8,10000,33.33333333,2,122,comm
C,N,5,P,T8,10000,33.33333333,2,106,comm
C,N,6,P,T8,10000,33.33333333,2,80,comm
C,N,1,V,T8,10000,33.33333333,2,120,comm
C,N,2,V,T8,10000,33.33333333,2,96,comm
C,N,3,V,T8,10000,33.33333333,2,114,comm
C,N,4,V,T8,10000,33.33333333,2,130,comm
C,N,5,V,T8,10000,33.33333333,2,96,comm
C,N,6,V,T8,10000,33.33333333,2,106,comm
C,N,1,O,T8,10000,33.33333333,2,72,comm
C,N,2,O,T8,10000,33.33333333,2,64,comm
C,N,3,O,T8,10000,33.33333333,2,66,comm
C,N,4,O,T8,10000,33.33333333,2,96,comm
C,N,5,O,T8,10000,33.33333333,2,80,comm
C,N,6,O,T8,10000,33.33333333,2,180,comm
CP,Y,1,P,T8,10000,33.33333333,2,76,comm
CP,Y,2,P,T8,10000,33.33333333,2,132,comm
CP,Y,3,P,T8,10000,33.33333333,2,128,comm
CP,Y,4,P,T8,10000,33.33333333,2,88,comm
CP,Y,5,P,T8,10000,33.33333333,2,74,comm
CP,Y,6,P,T8,10000,33.33333333,2,76,comm
CP,Y,1,V,T8,10000,33.33333333,2,132,comm
CP,Y,2,V,T8,10000,33.33333333,2,136,comm
CP,Y,3,V,T8,10000,33.33333333,2,176,comm
CP,Y,4,V,T8,10000,33.33333333,2,126,comm
CP,Y,5,V,T8,10000,33.33333333,2,92,comm
CP,Y,6,V,T8,10000,33.33333333,2,116,comm
CP,Y,1,O,T8,10000,33.33333333,2,122,comm
CP,Y,2,O,T8,10000,33.33333333,2,42,comm
CP,Y,3,O,T8,10000,33.33333333,2,80,comm
CP,Y,4,O,T8,10000,33.33333333,2,120,comm
CP,Y,5,O,T8,10000,33.33333333,2,104,comm
CP,Y,6,O,T8,10000,33.33333333,2,128,comm
O,N,1,O,T8,10000,33.33333333,2,360,mono
O,N,2,O,T8,10000,33.33333333,2,424,mono
O,N,3,O,T8,10000,33.33333333,2,438,mono
O,N,4,O,T8,10000,33.33333333,2,264,mono
O,N,5,O,T8,10000,33.33333333,2,272,mono
O,N,6,O,T8,10000,33.33333333,2,100,mono
OP,Y,1,O,T8,10000,33.33333333,2,360,mono
OP,Y,2,O,T8,10000,33.33333333,2,644,mono
OP,Y,3,O,T8,10000,33.33333333,2,416,mono
OP,Y,4,O,T8,10000,33.33333333,2,496,mono
OP,Y,5,O,T8,10000,33.33333333,2,384,mono
OP,Y,6,O,T8,10000,33.33333333,2,552,mono