Treat,rep,day,OD
V,1,1,0.055
V,2,1,0.045
V,3,1,0.053
V,4,1,0.054
V,5,1,0.054
V,6,1,0.052
VP,1,1,0.053
VP,2,1,0.052
VP,3,1,0.053
VP,4,1,0.052
VP,5,1,0.053
VP,6,1,0.053
V,1,2,0.066
V,2,2,0.081
V,3,2,0.082
V,4,2,0.067
V,5,2,0.076
V,6,2,0.067
VP,1,2,0.066
VP,2,2,0.064
VP,3,2,0.066
VP,4,2,0.078
VP,5,2,0.085
VP,6,2,0.07
V,1,3,0.072
V,2,3,0.088
V,3,3,0.093
V,4,3,0.066
V,5,3,0.093
V,6,3,0.066
VP,1,3,0.069
VP,2,3,0.068
VP,3,3,0.07
VP,4,3,0.075
VP,5,3,0.089
VP,6,3,0.084
V,1,5,0.075
V,2,5,0.079
V,3,5,0.066
V,4,5,0.06
V,5,5,0.067
V,6,5,0.067
VP,1,5,0.068
VP,2,5,0.085
VP,3,5,0.068
VP,4,5,0.087
VP,5,5,0.081
VP,6,5,0.071
V,1,6,0.072
V,2,6,0.073
V,3,6,0.063
V,4,6,0.057
V,5,6,0.06
V,6,6,0.06
VP,1,6,0.068
VP,2,6,0.079
VP,3,6,0.068
VP,4,6,0.081
VP,5,6,0.077
VP,6,6,0.063
V,1,7,0.064
V,2,7,0.066
V,3,7,0.057
V,4,7,0.057
V,5,7,0.058
V,6,7,0.06
VP,1,7,0.068
VP,2,7,0.073
VP,3,7,0.071
VP,4,7,0.075
VP,5,7,0.069
VP,6,7,0.062