treat,rep,count_t,count_c,t0,dil,plated,froz
r,1,62,10,186,1000,40,2
r,2,171,68,476,1000,40,2
r,3,276,79,228,1000,40,2
r,4,136,42,192,1000,40,2
r,5,141,23,192,1000,40,2
r,6,154,67,231,1000,40,2
s,1,134,32,351,1000,40,2
s,2,220,52,281,1000,40,2
s,3,60,41,197,1000,40,2
s,4,171,30,168,1000,40,2
s,5,181,24,247,1000,40,2
s,6,266,16,265,1000,40,2
a,1,103,29,33,1000,40,2
a,2,202,89,33,1000,40,2
a,3,217,49,33,1000,40,2
a,4,137,34,33,1000,40,2
a,5,166,60,33,1000,40,2
a,6,134,76,33,1000,40,2